Name,Ticker,"Sub-Sector","Market Cap","Close Price","PE Ratio","1M Return","1D Return","Return on Equity","PB Ratio"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1936235.6403437601","1430.8","23.970729066465616","6.680584551148218","0.37884102708010825","7.197219819635489","1.91777513687619"
HDFC Bank Ltd,HDFCBANK,"Private Banks","1188065.2049978","771.7","15.62709696433732","4.065808104645687","-0.9370988446726514","14.047097534079553","2.2076905529535797"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","1149380.30252524","1886.8","34.25249962079143","4.381500331931846","-0.06885228536623879","25.908885247977484","7.489395504886304"
State Bank of India,SBIN,"Public Banks","986245.3359761699","1068.45","12.71568365287407","7.112781954887223","-1.6974882693900124","16.57966960572751","1.9527190015181695"
ICICI Bank Ltd,ICICIBANK,"Private Banks","905446.6188896","1263.4","16.78467210289028","3.8553226469379442","-1.373926619828252","17.044528468970086","2.754271825969642"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","895078.6710780199","2473.9","18.188958973339158","4.764122977894469","-0.03232715076573836","48.18628242977934","8.251246069046443"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","582940.3802175","937","30.653017065827637","13.273694390715661","0.7526881720430108","18.946202587861993","5.892042697294204"
Larsen and Toubro Ltd,LT,"Construction & Engineering","552178.761066","4014","36.721069478510195","14.535182331792504","-2.0043455970313313","13.798467139801561","4.784758692842377"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","528869.49716358","2250.9","35.16419529013165","9.810713240316124","-2.7436916695471827","21.08044975849236","10.660757063508235"
Life Insurance Corporation Of India,LICI,"Insurance","504671.56656279","797.9","10.444290561815064","6.771042419376425","-1.7908794387346996","45.93116095254424","3.958094744596268"
Infosys Ltd,INFY,"IT Services & Consulting","478231.79028374003","1181.8","16.244286354746606","-5.471124620060797","1.2248394004282617","31.071240105540898","5.125907481309581"
Sun Pharmaceutical Industries Ltd,SUNPHARMA,"Pharmaceuticals","433871.7426251","1808.3","39.698980205498366","1.5499522659628184","1.6641367290717888","15.65631695122816","5.985597796884777"
Adani Power Ltd,ADANIPOWER,"Power Generation","427830.952030425","221.85","33.33496583611301","45.02843694842126","1.1720175118569833","25.585441251409144","7.400365252530436"
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","418595.5870236","13314","28.515657006274015","8.685714285714285","0.4299615297578638","15.945158209526376","4.34950147520519"
ITC Ltd,ITC,"FMCG - Tobacco","394552.95459419","314.9","11.355143062627658","8.101613456917255","-0.4268774703557384","47.831412813357964","5.604609376271379"
Axis Bank Ltd,AXISBANK,"Private Banks","394264.94263134","1268.3","14.973549667056323","8.568738229755171","-2.1675408824437006","16.245299058540695","2.0985981875789825"
Titan Company Ltd,TITAN,"Precious Metals, Jewellery & Watches","388987.0874152","4385.2","116.56790153287385","11.662253004685272","-1.2297851254561099","31.755245753437695","33.464133466551964"
