ticker,last_close,last_date,1W,2W,1M,3M,6M,12M
NV20,11919.85,2026-05-15,84198.79,82734.26,81153.23,78129.63,78584.07,79275.7
SHYAMTEL,21.77,2026-05-15,-7.72,-8.34,120.34,110.75,82.94,76.99
CALSOFT,22.75,2026-05-15,-9.9,32.11,90.86,63.9,35.58,105.7
OMAXAUTO,205.59,2026-05-15,-10.54,33.17,79.43,80.55,118.87,143.51
IDEAFORGE,818.7,2026-05-15,2.96,12.0,79.11,99.2,76.2,53.3
SIGMAADV,317.5,2026-05-15,-6.33,7.45,75.61,70.42,,
SANCO,3.49,2026-05-15,8.05,22.46,69.42,43.62,72.77,42.45
HFCL,147.89,2026-05-15,-0.38,17.34,67.83,112.06,94.95,64.41
ROLLT,2.18,2026-05-15,-5.63,8.46,67.69,74.4,77.24,47.3
RITEZONE,25.9,2026-05-14,-5.13,3.6,67.1,32.48,4.23,10.21
JAINAM,290.0,2026-05-14,1.75,18.85,66.67,37.44,3.57,20.83
BBOX,878.75,2026-05-15,11.5,32.88,64.98,61.39,57.78,103.3
BHAGYANGR,317.25,2026-05-15,3.9,12.68,64.69,99.75,106.45,322.32
STLTECH,419.8,2026-05-15,6.36,35.7,64.69,169.69,252.62,507.7
SILKFLEX,217.0,2026-05-14,3.33,0.58,59.56,88.94,173.47,139.65
VERANDA,240.78,2026-05-15,12.42,21.08,56.16,22.88,8.81,15.01
SHIGAN,81.0,2026-05-14,7.28,11.42,52.54,10.2,38.94,11.96
INDOTECH,2599.8,2026-05-15,-4.77,-4.73,51.42,89.21,40.56,2.31
BALAMINES,1706.2,2026-05-15,20.63,17.22,50.89,58.11,38.85,25.73
GRCL,599.9,2026-05-14,12.11,35.02,50.03,55.21,50.35,19.98
AKIKO,299.0,2026-05-14,0.0,22.74,49.8,37.85,2.82,264.63
PRIZOR,668.35,2026-05-14,-0.69,-4.1,49.7,125.03,116.12,302.74
VISASTEEL,47.68,2026-05-15,-10.16,12.14,48.26,31.46,-22.98,44.92
NEUEON,26.1,2026-05-14,0.0,27.5,47.46,166.33,400.0,400.0
VMARCIND,1125.35,2026-05-14,-0.73,16.12,47.43,85.15,47.65,247.87
SHAILY,2768.3,2026-05-15,2.53,7.34,47.05,38.16,5.55,66.21
PARACABLES,56.26,2026-05-15,-6.34,39.81,47.05,57.59,41.61,0.27
MTARTECH,7234.0,2026-05-15,10.95,18.06,46.4,101.7,175.41,366.14
SEMAC,390.65,2026-05-15,15.2,37.24,45.68,42.43,15.54,7.91
SHERA,179.3,2026-05-14,14.68,13.88,44.42,49.98,30.4,14.9
UCL,142.65,2026-05-14,5.59,11.97,44.38,104.08,192.62,154.73
CADSYS,69.0,2026-05-14,-2.82,6.81,43.9,40.24,30.93,-26.24
VIDYAWIRES,97.54,2026-05-15,3.46,6.75,43.59,107.27,,
ONELIFECAP,21.45,2026-05-15,14.22,18.84,43.0,39.25,58.54,95.18
WHEELS,1467.3,2026-05-15,10.59,16.83,42.09,69.37,66.87,102.08
GLFL,6.98,2026-05-15,-0.29,-1.41,40.73,15.18,-12.97,55.46
CEMPRO,899.55,2026-05-15,-0.71,-5.95,40.59,49.23,8.97,
CLEANMAX,1290.0,2026-05-15,4.95,11.56,40.48,,,
RRKABEL,1953.8,2026-05-15,1.65,10.06,40.36,39.17,42.28,49.01
SUNFLAG,373.45,2026-05-15,-2.62,16.29,40.25,52.37,43.99,44.52
GVPIL,696.1,2026-05-15,8.88,9.7,40.1,45.11,96.11,
EMBDL,70.24,2026-05-15,-3.53,44.56,39.89,8.87,-16.6,-30.97
SATIN,223.39,2026-05-15,4.06,18.48,39.41,44.75,47.42,28.96
TDPOWERSYS,1311.3,2026-05-15,11.25,12.8,39.22,57.15,66.9,169.89
